# time	cmd_angle	cmd_speed	odom_v(m/s)	odom_omega(rad/s)	R(m)
1779638656.408	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638656.508	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638656.608	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638656.708	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638656.808	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638656.908	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638657.008	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638657.108	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638657.208	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638657.308	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638657.408	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638657.508	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638657.608	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638657.709	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638657.808	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638657.908	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638658.008	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638658.108	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638658.208	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638658.308	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638658.408	 +100.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638658.508	 +100.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638658.608	 +100.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638658.708	 +100.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638658.808	 +100.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638658.908	 +100.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638659.008	 +100.0	  +0.0	 +0.0000	 +0.0000	      +inf
1779638659.108	 +100.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638659.208	 +100.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638659.308	 +100.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638659.408	 +100.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638659.508	 +100.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638659.608	 +100.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638659.708	 +100.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638659.808	 +100.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638659.908	 +100.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638660.008	 +100.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638660.108	 +100.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638660.208	 +100.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638660.308	 +100.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638660.408	 +100.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638660.508	 +100.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638660.608	 +100.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638660.708	 +100.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638660.808	 +100.0	  +1.0	 +0.0000	 -0.0000	      +inf
1779638660.908	 +100.0	  +1.0	 +0.1355	 -0.0013	  -102.517
1779638661.008	 +100.0	  +1.0	 +0.2848	 -0.0023	  -125.737
1779638661.108	 +100.0	  +1.0	 +0.3971	 -0.0024	  -167.339
1779638661.208	 +100.0	  +1.0	 +0.4325	 -0.0022	  -197.026
1779638661.308	 +100.0	  +1.0	 +0.4677	 -0.0018	  -262.206
1779638661.408	 +100.0	  +1.0	 +0.4809	 -0.0015	  -321.571
1779638661.508	 +100.0	  +1.0	 +0.4887	 -0.0012	  -394.385
1779638661.608	 +100.0	  +1.0	 +0.4940	 -0.0010	      +inf
1779638661.708	 +100.0	  +1.0	 +0.4965	 -0.0008	      +inf
1779638661.808	 +100.0	  +1.0	 +0.4979	 -0.0007	      +inf
1779638661.908	 +100.0	  +1.0	 +0.4988	 -0.0005	      +inf
1779638662.008	 +100.0	  +1.0	 +0.4995	 -0.0004	      +inf
1779638662.108	 +100.0	  +2.0	 +0.4996	 -0.0004	      +inf
1779638662.208	 +100.0	  +2.0	 +0.6353	 -0.0003	      +inf
1779638662.308	 +100.0	  +2.0	 +0.7847	 -0.0003	      +inf
1779638662.408	 +100.0	  +2.0	 +0.8970	 -0.0003	      +inf
1779638662.508	 +100.0	  +2.0	 +0.9392	 -0.0002	      +inf
1779638662.608	 +100.0	  +2.0	 +0.9677	 -0.0002	      +inf
1779638662.708	 +100.0	  +2.0	 +0.9809	 -0.0002	      +inf
1779638662.808	 +100.0	  +2.0	 +0.9887	 -0.0001	      +inf
1779638662.908	 +100.0	  +2.0	 +0.9933	 -0.0001	      +inf
1779638663.008	 +100.0	  +2.0	 +0.9956	 -0.0001	      +inf
1779638663.108	 +100.0	  +2.0	 +0.9981	 -0.0001	      +inf
1779638663.208	 +100.0	  +2.0	 +0.9985	 -0.0001	      +inf
1779638663.308	 +100.0	  +3.0	 +0.9994	 -0.0000	      +inf
1779638663.408	 +100.0	  +3.0	 +1.1352	 -0.0000	      +inf
1779638663.508	 +100.0	  +3.0	 +1.3255	 -0.0000	      +inf
1779638663.608	 +100.0	  +3.0	 +1.3970	 -0.0000	      +inf
1779638663.708	 +100.0	  +3.0	 +1.4452	 -0.0000	      +inf
1779638663.808	 +100.0	  +4.0	 +1.4677	 -0.0000	      +inf
1779638663.908	 +100.0	  +4.0	 +1.6164	 -0.0000	      +inf
1779638664.008	 +100.0	  +4.0	 +1.7735	 -0.0000	      +inf
1779638664.108	 +100.0	  +5.0	 +1.8514	 -0.0000	      +inf
1779638664.208	 +100.0	  +5.0	 +1.9122	 -0.0000	      +inf
1779638664.308	 +100.0	  +6.0	 +2.2470	 -0.0000	      +inf
1779638664.408	 +100.0	  +6.0	 +2.5010	 -0.0000	      +inf
1779638664.508	 +100.0	  +7.0	 +2.7613	 -0.0000	      +inf
1779638664.608	 +100.0	  +7.0	 +2.9210	 -0.0000	      +inf
1779638664.708	 +100.0	  +8.0	 +3.1581	 -0.0000	      +inf
1779638664.808	 +100.0	  +9.0	 +3.4133	 -0.0000	      +inf
1779638664.908	 +100.0	  +9.0	 +3.7036	 -0.0000	      +inf
1779638665.008	 +100.0	 +10.0	 +4.0297	 -0.0000	      +inf
1779638665.108	 +100.0	 +10.0	 +4.4898	 -0.0000	      +inf
1779638665.208	 +100.0	 +10.0	 +4.6987	 -0.0000	      +inf
1779638665.308	 +100.0	 +10.0	 +4.8221	 -0.0000	      +inf
1779638665.408	 +100.0	 +10.0	 +4.8559	 -0.0000	      +inf
1779638665.508	 +100.0	 +10.0	 +4.9442	 -0.0000	      +inf
1779638665.608	 +100.0	 +10.0	 +4.9670	 -0.0000	      +inf
1779638665.708	 +100.0	 +10.0	 +4.9842	 -0.0000	      +inf
1779638665.808	 +100.0	 +10.0	 +4.9885	 -0.0000	      +inf
1779638665.908	 +100.0	 +10.0	 +4.9945	 -0.0000	      +inf
1779638666.008	 +100.0	 +10.0	 +4.9960	 -0.0000	      +inf
1779638666.108	 +100.0	 +10.0	 +4.9979	 -0.0000	      +inf
1779638666.208	 +100.0	 +10.0	 +4.9991	 -0.0000	      +inf
1779638666.308	 +100.0	 +10.0	 +4.9995	 -0.0000	      +inf
1779638666.408	 +100.0	 +10.0	 +4.9997	 -0.0000	      +inf
1779638666.508	 +100.0	 +10.0	 +4.9999	 -0.0000	      +inf
1779638666.608	 +100.0	 +10.0	 +4.9999	 -0.0000	      +inf
1779638666.708	 +100.0	 +10.0	 +5.0000	 -0.0000	      +inf
1779638666.808	 +100.0	 +10.0	 +5.0000	 -0.0000	      +inf
1779638666.908	 +100.0	 +10.0	 +5.0000	 -0.0000	      +inf
1779638667.008	 +100.0	 +10.0	 +5.0000	 -0.0000	      +inf
1779638667.108	 +100.0	 +10.0	 +5.0000	 -0.0000	      +inf
