# time	cmd_angle	cmd_speed	odom_v	odom_w	R_odom	imu_yaw_rate	R_imu	imu_ax	imu_ay
1779639172.268	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 -0.0002	      +inf	 +0.0669	 +3.2370
1779639172.368	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0010	      +inf	 +0.0445	 +3.2406
1779639176.027	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0008	      +inf	 +0.0455	 +3.2474
1779639176.068	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 -0.0011	 -4703.266	 +0.0147	 +3.2442
1779639176.168	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 -0.0022	 -2306.042	 -0.0013	 +3.2538
1779639176.268	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0000	      +inf	 -0.0222	 +3.2703
1779639176.368	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 -0.0005	      +inf	 -0.0075	 +3.2636
1779639176.468	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 -0.0007	      +inf	 -0.0021	 +3.2548
1779639176.568	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 -0.0003	      +inf	 -0.0020	 +3.2485
1779639176.669	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0006	      +inf	 +0.0060	 +3.2555
1779639176.769	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 -0.0009	      +inf	 +0.0202	 +3.2492
1779639176.869	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 -0.0006	      +inf	 +0.0172	 +3.2447
1779639176.968	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0000	      +inf	 +0.0345	 +3.2477
1779639177.068	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0009	      +inf	 +0.0310	 +3.2448
1779639177.168	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 -0.0008	      +inf	 +0.0271	 +3.2325
1779639177.269	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0006	      +inf	 +0.0162	 +3.2328
1779639177.368	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0003	      +inf	 +0.0310	 +3.2398
1779639177.468	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0001	      +inf	 +0.0201	 +3.2372
1779639177.568	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0002	      +inf	 +0.0222	 +3.2461
